Year_Month,No_of_Transactions,Total_Amount,method
2018-08,4,41,bkash
2018-09,5,36,bkash
2018-10,477,2552734,bkash
2018-11,7,13210,bkash
2019-01,1508,9662772.79,bkash
2019-02,1937,15642217.28,bkash
2019-03,4024,25025581.1,bkash
2019-04,638,3481815.86,bkash
2019-07,1310,7849083.21,bkash
2019-08,2281,15498535.01,bkash
2019-09,1646,10784080.7,bkash
2019-10,2196,15097128.99,bkash
2019-11,2026,12208703.57,bkash
2019-12,2048,11128237.5,bkash
2020-01,2085,12722201.99,bkash
2020-02,2751,15660281.14,bkash
2020-03,2054,11957473.64,bkash
2018-10,44,118994,dbbl_mobile
2018-11,2,60,dbbl_mobile
2019-01,875,7535159,dbbl_mobile
2019-02,517,4238262,dbbl_mobile
2019-03,559,3803579.2,dbbl_mobile
2019-04,76,340661,dbbl_mobile
2019-07,184,890244,dbbl_mobile
2019-08,213,1364934,dbbl_mobile
2019-09,93,490269,dbbl_mobile
2019-10,96,681816,dbbl_mobile
2019-11,123,729039.31,dbbl_mobile
2019-12,68,374129,dbbl_mobile
2020-01,37,98523,dbbl_mobile
2020-02,112,309684.06,dbbl_mobile
2020-03,54,143231,dbbl_mobile
2019-02,4,1450,dbbl_nexus
2019-03,3,1615,dbbl_nexus
2019-07,4,450,dbbl_nexus
2019-08,4,850,dbbl_nexus
2019-09,9,7993,dbbl_nexus
2019-10,3,1470,dbbl_nexus
2019-11,12,17160,dbbl_nexus
2019-12,14,8965,dbbl_nexus
2020-01,10,5344,dbbl_nexus
2020-02,9,8325,dbbl_nexus
2020-03,6,3380,dbbl_nexus
2019-07,3,1508,ebl_visa
2018-10,4,5320,ibbl
2019-01,6,12120,ibbl
2019-02,3,300,ibbl
2019-03,9,5557,ibbl
2019-07,7,3400,ibbl
2019-08,5,3850,ibbl
2019-09,1,50,ibbl
2019-10,4,2200,ibbl
2019-11,15,6967,ibbl
2019-12,10,6707,ibbl
2020-01,7,6770,ibbl
2020-02,3,2200,ibbl
2020-03,6,4180,ibbl
2018-10,3,3360,mCash_iBank
2019-02,1,50,mCash_iBank
2019-03,3,270,mCash_iBank
2019-07,3,650,mCash_iBank
2019-08,3,1070,mCash_iBank
2019-09,2,1000,mCash_iBank
2019-12,2,20,mCash_iBank
2020-01,1,10,mCash_iBank
2020-02,2,68,mCash_iBank
2020-03,2,4500,mCash_iBank
2018-10,15,14985,mx
2019-01,4,8267,mx
2019-02,12,108371,mx
2019-03,24,166475,mx
2019-04,2,50700,mx
2019-07,24,90649,mx
2019-08,35,88210,mx
2019-09,14,14711,mx
2019-10,15,85052,mx
2019-11,25,101775,mx
2019-12,47,336051,mx
2020-01,23,169481,mx
2020-02,61,423193,mx
2020-03,39,305050,mx
2018-10,8,8980,mx_master_card
2019-01,5,15736,mx_master_card
2019-02,6,58752.16,mx_master_card
2019-03,17,102200,mx_master_card
2019-04,3,650,mx_master_card
2019-07,12,39050,mx_master_card
2019-08,24,94255,mx_master_card
2019-09,13,57656,mx_master_card
2019-10,21,147600,mx_master_card
2019-11,17,50226,mx_master_card
2019-12,21,89602,mx_master_card
2020-01,10,35940,mx_master_card
2020-02,27,112315,mx_master_card
2020-03,17,73008,mx_master_card
2018-09,2,25,mx_visa
2018-10,28,31612,mx_visa
2018-11,4,5410,mx_visa
2019-01,13,11320,mx_visa
2019-02,11,6636,mx_visa
2019-03,53,35817,mx_visa
2019-04,18,11990,mx_visa
2019-07,42,38552,mx_visa
2019-08,47,31853,mx_visa
2019-09,53,95139,mx_visa
2019-10,52,152241,mx_visa
2019-11,67,185370,mx_visa
2019-12,77,206199,mx_visa
2020-01,72,248431,mx_visa
2020-02,98,384995,mx_visa
2020-03,114,642689,mx_visa
2019-01,2,220,tbl-ITCL
2019-07,4,1334,tbl-ITCL
2019-08,1,500,tbl-ITCL
2019-09,1,610,tbl-ITCL
2019-10,1,10,tbl-ITCL
2019-11,2,253,tbl-ITCL
2020-01,1,200,tbl-ITCL
2020-02,1,200,tbl-ITCL
2020-03,3,350,tbl-ITCL
2018-10,172,2246943,tbl-MB
2019-01,240,2754056,tbl-MB
2019-02,28,177432,tbl-MB
2019-03,20,57044,tbl-MB
2019-07,6,20300,tbl-MB
2019-08,2,20000,tbl-MB
2019-10,4,10530,tbl-MB
2019-11,3,8680,tbl-MB
2019-12,2,10500,tbl-MB
2020-01,2,1100,tbl-MB
2020-02,5,2440,tbl-MB
2020-03,1,400,tbl-MB
2020-03,1,10000,unionpay
2019-01,3,517,upay
2019-02,2,1394,upay
2019-03,4,220,upay
2019-04,1,160,upay
2019-07,6,1150,upay
2019-08,1,500,upay
2019-09,1,2000,upay
2019-10,6,6956,upay
2019-11,2,3010,upay
2020-01,2,2100,upay
2020-02,2,1500,upay
2020-03,2,800,upay